"uuid","author","published","country","shares","type"
"6a175f46bcd24d39b3e962ad0f29936721db70db","Barracuda Brigade","2016-10-26T21:41:00.000+03:00","US",0,"bias"
"2bdc29d12605ef9cf3f09f9875040a7113be5d5b","reasoning with facts","2016-10-29T08:47:11.259+03:00","US",0,"bias"
"c70e149fdd53de5e61c29281100b9de0ed268bc3","Barracuda Brigade","2016-10-31T01:41:49.479+02:00","US",0,"bias"
"7cf7c15731ac2a116dd7f629bd57ea468ed70284","Fed Up","2016-11-01T05:22:00.000+02:00","US",0,"bias"
"0206b54719c7e241ffe0ad4315b808290dbe6c0f","Fed Up","2016-11-01T21:56:00.000+02:00","US",0,"bias"
"8f30f5ea14c9d5914a9fe4f55ab2581772af4c31","Barracuda Brigade","2016-11-02T16:31:28.550+02:00","US",0,"bias"
"d3cc0fe38f41a59f7c48f8c3528ca5f74193148f","Fed Up","2016-11-04T19:40:00.000+02:00","US",0,"bias"
"b4bbf8b5c19e8864f5257832a58b81ef4ed2d4e4","Fed Up","2016-11-05T01:19:00.000+02:00","US",0,"bias"
"a19aabaa5a61eb8bc22fadaaa003e5fbba5c4bf6","Fed Up","2016-11-06T23:54:00.000+02:00","US",0,"bias"
"f54d8e13010d0a79893995ee65360ad4b38b5a35","Fed Up","2016-11-07T02:43:00.000+02:00","US",0,"bias"
"4d3faf17519cfa46ca754ab8068428818dbb2bf3","EdJenner","2016-11-07T22:34:36.822+02:00","US",0,"bias"
"7f90d71cc69893f4c91e8a55f2c4da52d88cd7c1","Fed Up","2016-11-09T17:28:00.000+02:00","US",0,"bias"
"fd2c048d7e03f7260a8d75725b0441c627578f1a","EdJenner","2016-11-10T02:37:06.677+02:00","US",0,"bias"
"c8d4c0a88af223f1b41e3e966ecd98ceb22ab5fb","Fed Up","2016-11-10T15:38:00.000+02:00","US",0,"bias"
"f0b221ac2a32d3f533ab5e097883b5bd19924033","Fed Up","2016-11-11T15:13:00.000+02:00","US",0,"bias"
"a9efba05a81e5b106ac2a4b12bd39615e402bfb9","EdJenner","2016-11-12T06:16:03.318+02:00","US",0,"bias"
"13e3e1983787c76876e9e5d095e73ef8cee1628a","Fed Up","2016-11-10T08:41:00.000+02:00","US",0,"bias"
"162b39e6518af4e591acdd65d719b4f858596b3e","EdJenner","2016-11-12T19:55:23.883+02:00","US",0,"bias"
"59899b8db5916d23b121cc8cae00e623f681d474","EdJenner","2016-11-13T06:02:46.689+02:00","US",0,"bias"
"1fe4c0fa4ba9e410fe5c4e7fec13c6740062629b","EdJenner","2016-11-13T06:02:47.949+02:00","US",0,"bias"
"124c5aa1e29aa1e27a2ad9284400243ee5a150e6","Fed Up","2016-11-10T09:10:00.000+02:00","US",0,"bias"
"bb6352cab853dfeaf11d29a08cd5b1d0baf424a3","EdJenner","2016-11-14T08:35:23.027+02:00","US",0,"bias"
"ee8e9d4d80c9b05f5a049f6687be1cf8a90cdc34","EdJenner","2016-11-15T09:43:45.343+02:00","US",0,"bias"
"3836cd38353373b7d934a7e25e5888876958f94a","EdJenner","2016-11-20T03:53:12.132+02:00","US",0,"bias"
"80da68b7ce6ee3c4e5d9a583abac77828606c2bb","EdJenner","2016-11-20T06:44:12.111+02:00","US",0,"bias"
"de3862589a93552123e525fac783021a5fe929e2","EdJenner","2016-11-21T03:35:20.047+02:00","US",0,"bias"
"c1a86b752a21196a06591d5a785fa29b14fab245","EdJenner","2016-11-22T08:17:53.961+02:00","US",0,"bias"
"018d2edef81f8ac93622de17798556762119c736","Fed Up","2016-11-22T21:26:00.000+02:00","US",0,"bias"
"2459f5d2ecfe04bfe96d6d75e92f948004edf67a","EdJenner","2016-11-23T01:48:30.528+02:00","US",0,"bias"
